동별,사업체수 (개),종사자수 (명),평균종사자 (명)
사직동,"5,035","56,013",11.12
삼청동,956,"4,978",5.21
부암동,894,"3,762",4.21
평창동,"1,321","4,321",3.27
무악동,761,"1,891",2.48
교남동,592,"8,371",14.14
가회동,969,"14,180",14.63
종로1.2.3.4가동,"17,286","107,067",6.19
종로5.6가동,"7,972","22,872",2.87
이화동,"1,673","17,365",10.38
창신1동,"2,686","6,266",2.33
창신2동,"1,062","2,192",2.06
창신3동,439,"1,128",2.57
숭인1동,736,"1,897",2.58
숭인2동,"2,267","6,053",2.67
청운효자동,"1,477","7,888",5.34
혜화동,"2,235","8,819",3.95
소공동,"5,107","64,308",12.59
회현동,"9,246","46,229",5
명동,"8,849","110,506",12.49
필동,"3,600","24,470",6.8
장충동,"1,041","9,357",8.99
광희동,"9,352","34,741",3.71
을지로동,"9,784","31,528",3.22
신당5동,"1,552","4,149",2.67
황학동,"2,487","5,992",2.41
중림동,"1,340","9,166",6.84
신당동,"12,136","23,988",1.98
다산동,"2,023","8,723",4.31
약수동,"1,210","4,519",3.73
청구동,"1,244","4,497",3.61
동화동,"1,337","4,391",3.28
후암동,"1,367","4,605",3.37
용산2가동,844,"2,129",2.52
남영동,"2,245","18,439",8.21
원효로2동,"1,564","7,229",4.62
효창동,702,"2,596",3.7
용문동,963,"2,159",2.24
이촌1동,"1,387","4,107",2.96
이촌2동,558,"1,183",2.12
이태원1동,"1,871","6,544",3.5
이태원2동,"1,285","3,282",2.55
서빙고동,777,"6,126",7.88
보광동,"1,155","2,365",2.05
청파동,"2,186","9,850",4.51
원효로1동,"2,634","12,179",4.62
한강로동,"6,669","48,562",7.28
한남동,"3,473","21,250",6.12
왕십리2동,"1,232","2,948",2.39
마장동,"4,030","12,518",3.11
사근동,"1,310","10,537",8.04
행당1동,"1,578","9,587",6.08
행당2동,"1,031","2,412",2.34
응봉동,682,"1,162",1.7
금호1가동,927,"2,416",2.61
금호4가동,999,"2,294",2.3
성수1가1동,"2,982","14,473",4.85
성수1가2동,"4,784","26,199",5.48
성수2가1동,"3,557","20,402",5.74
성수2가3동,"8,853","63,385",7.16
송정동,"1,005","2,879",2.86
용답동,"2,497","12,834",5.14
왕십리도선동,"3,234","11,495",3.55
금호2.3가동,"1,458","2,963",2.03
옥수동,"1,506","4,717",3.13
화양동,"3,072","16,195",5.27
군자동,"2,389","9,834",4.12
중곡1동,"2,152","6,363",2.96
중곡2동,"2,350","7,380",3.14
중곡3동,"1,764","5,019",2.85
중곡4동,"1,707","4,257",2.49
능동,"1,214","6,229",5.13
구의1동,"2,623","7,443",2.84
구의2동,"1,929","5,989",3.1
구의3동,"3,708","16,217",4.37
광장동,"2,180","14,269",6.55
자양1동,"2,303","9,645",4.19
자양2동,"2,196","7,033",3.2
자양3동,"1,922","7,600",3.95
자양4동,"2,197","6,234",2.84
회기동,"1,293","10,348",8
휘경1동,"1,285","3,690",2.87
휘경2동,"1,665","5,457",3.28
청량리동,"1,909","8,278",4.34
용신동,"6,982","30,470",4.36
제기동,"5,355","13,094",2.45
전농1동,"3,020","7,638",2.53
전농2동,"1,358","5,460",4.02
답십리1동,"3,799","9,651",2.54
답십리2동,"2,847","8,207",2.88
장안1동,"6,654","22,326",3.36
장안2동,"3,956","12,725",3.22
이문1동,"1,641","6,654",4.05
이문2동,"1,049","2,385",2.27
면목2동,"2,477","5,975",2.41
면목4동,"2,568","4,971",1.94
면목5동,"1,161","3,336",2.87
면목7동,"1,957","4,800",2.45
상봉1동,"1,952","6,705",3.43
상봉2동,"3,344","9,431",2.82
중화1동,"1,565","4,476",2.86
중화2동,"2,584","7,044",2.73
묵1동,"2,326","6,252",2.69
묵2동,"2,393","4,973",2.08
망우3동,"1,507","4,272",2.83
신내1동,"3,257","15,420",4.73
신내2동,"1,556","7,186",4.62
면목본동,"3,481","7,511",2.16
면목3.8동,"2,776","7,878",2.84
망우본동,"4,406","12,914",2.93
돈암1동,688,"2,087",3.03
돈암2동,909,"2,893",3.18
안암동,"1,927","14,353",7.45
보문동,"1,787","6,720",3.76
정릉1동,"1,275","2,752",2.16
정릉2동,"1,422","3,344",2.35
정릉3동,"1,042","5,404",5.19
정릉4동,"1,524","5,018",3.29
길음1동,"1,583","4,419",2.79
길음2동,"1,696","5,554",3.27
월곡1동,"1,841","5,848",3.18
월곡2동,"2,162","11,083",5.13
장위1동,"1,532","3,104",2.03
장위2동,"1,538","3,865",2.51
장위3동,877,"2,429",2.77
성북동,"1,790","6,288",3.51
삼선동,"2,507","11,157",4.45
동선동,"2,682","10,483",3.91
종암동,"2,858","8,433",2.95
석관동,"3,072","8,770",2.85
번1동,"2,486","10,192",4.1
번2동,912,"3,732",4.09
번3동,"1,126","3,302",2.93
수유1동,"2,031","5,815",2.86
수유2동,"1,828","4,637",2.54
수유3동,"3,235","9,873",3.05
삼양동,"1,562","4,104",2.63
미아동,"2,337","6,971",2.98
송중동,"3,022","8,752",2.9
송천동,"2,658","7,730",2.91
삼각산동,"1,405","2,949",2.1
우이동,"1,557","5,515",3.54
인수동,"2,226","6,650",2.99
쌍문1동,"1,457","4,787",3.29
쌍문2동,"1,680","5,781",3.44
쌍문3동,"1,307","4,323",3.31
쌍문4동,907,"2,236",2.47
방학1동,"2,996","13,758",4.59
방학2동,"1,576","3,226",2.05
방학3동,"1,476","3,861",2.62
창1동,"2,141","4,381",2.05
창2동,"2,020","4,978",2.46
창3동,"1,241","2,511",2.02
창4동,"1,861","7,981",4.29
창5동,"2,547","7,316",2.87
도봉1동,"2,147","6,178",2.88
도봉2동,"2,035","7,780",3.82
월계1동,"1,921","6,647",3.46
월계2동,"1,436","3,961",2.76
월계3동,"1,536","4,525",2.95
공릉2동,"2,754","13,078",4.75
하계1동,"1,615","8,965",5.55
하계2동,778,"1,687",2.17
중계본동,"1,724","5,840",3.39
중계1동,"1,470","4,522",3.08
중계4동,"1,410","4,285",3.04
상계1동,"3,934","11,608",2.95
상계2동,"3,325","11,074",3.33
상계5동,"2,755","6,516",2.37
상계8동,824,"1,943",2.36
상계9동,"1,036","2,848",2.75
상계10동,818,"2,515",3.07
상계3.4동,"1,849","4,821",2.61
상계6.7동,"2,685","18,222",6.79
중계2.3동,"2,047","5,777",2.82
공릉1동,"3,992","14,564",3.65
녹번동,"3,045","13,682",4.49
불광1동,"2,408","7,000",2.91
갈현1동,"2,038","5,306",2.6
갈현2동,"2,344","6,776",2.89
구산동,"1,996","6,219",3.12
대조동,"3,363","7,968",2.37
응암1동,"2,605","8,853",3.4
응암2동,"1,284","3,096",2.41
신사1동,"1,986","5,162",2.6
신사2동,"2,060","4,261",2.07
증산동,"1,345","4,363",3.24
수색동,791,"2,760",3.49
진관동,"3,137","13,270",4.23
불광2동,"1,924","4,933",2.56
응암3동,"2,467","6,002",2.43
역촌동,"3,716","9,380",2.52
천연동,"1,131","3,259",2.88
홍제1동,"1,548","5,601",3.62
홍제3동,"1,383","3,882",2.81
홍제2동,829,"2,259",2.72
홍은1동,"1,479","3,187",2.15
홍은2동,"2,077","6,630",3.19
남가좌1동,954,"2,718",2.85
남가좌2동,"2,044","5,698",2.79
북가좌1동,"1,490","3,745",2.51
북가좌2동,"2,743","6,468",2.36
충현동,"2,995","23,946",8
북아현동,"1,154","2,656",2.3
신촌동,"5,275","34,964",6.63
연희동,"3,420","13,243",3.87
용강동,"4,088","23,581",5.77
대흥동,"1,968","9,808",4.98
