구,동,합평균
강남구,개포동,8845.891666666666
강남구,논현동,13078.13
강남구,대치동,13523.29
강남구,도곡동,10121.65
강남구,삼성동,14687.22
강남구,세곡동,10956.943333333335
강남구,수서동,13308.37
강남구,신사동,14764.935000000001
강남구,압구정동,14764.935000000001
강남구,역삼동,14566.28
강남구,일원동,11417.76
강남구,일원본동,11959.76
강남구,청담동,14058.2
강동구,강동,6096.8213888888895
강북구,미아동,3467.21
강북구,번동,3640.1
강북구,삼각산동,3467.21
강북구,삼양동,3467.21
강북구,송중동,3467.21
강북구,송천동,3467.21
강북구,수유동,3657.81
강북구,우이동,3668.815
강북구,인수동,3657.81
강서구,가양동,5393.275000000001
강서구,공항동,4350.4766666666665
강서구,등촌동,5654.740000000001
강서구,발산동,5972.693333333334
강서구,방화동,4960.998333333334
강서구,염창동,5247.045
강서구,우장산동,5000.365
강서구,화곡동,4585.7
강서구,화곡본동,4585.7
관악구,낙성대동,4913.29
관악구,난곡동,5017.06
관악구,난향동,5017.06
관악구,남현동,6846.29
관악구,대학동,5017.06
관악구,미성동,5017.06
관악구,보라매동,4913.29
관악구,삼성동,5017.06
관악구,서림동,5017.06
관악구,서원동,5017.06
관악구,성현동,4913.29
관악구,신림동,5017.06
관악구,신사동,5017.06
관악구,신원동,5017.06
관악구,은천동,4913.29
관악구,인헌동,4913.29
관악구,조원동,5017.06
관악구,중앙동,4913.29
관악구,청룡동,4913.29
관악구,청림동,4913.29
관악구,행운동,4913.29
광진구,광장동,5997.21
광진구,구의동,6037.69
광진구,군자동,5455.82
광진구,능동,6992.71
광진구,자양동,5425.21
광진구,중곡동,5054.02
광진구,화양동,6177.5
구로구,가리봉동,4498.31
구로구,개봉동,4331.64
구로구,고척동,4061.91
구로구,구로동,3716.19
구로구,수궁동,4177.055
구로구,신도림동,4030.19
구로구,오류동,3716.4725
구로구,항동,4215.71
금천구,가산동,4121.77
금천구,독산동,4384.74
금천구,시흥동,4085.31
노원구,공릉동,4722.2
노원구,상계·동,3676.98
노원구,상계동,3676.98
노원구,월계동,3981.4
노원구,중계·동,3321.14
노원구,중계동,3321.14
노원구,중계본동,3321.14
노원구,하계동,4133.37
도봉구,도봉동,3597.97
도봉구,방학동,3824.8700000000003
도봉구,쌍문동,3714.43
도봉구,창동,3733.22
동대문구,답십리동,3673.98
동대문구,용신동,3358.375
동대문구,이문동,3796.7
동대문구,장안동,3908.2
동대문구,전농동,3700.46
동대문구,제기동,3409.0
동대문구,청량리동,3244.28
동대문구,회기동,4522.99
동대문구,휘경동,4105.24
동작구,노량진동,5661.74
동작구,대방동,5745.48
동작구,사당동,5412.136
동작구,상도동,5078.495
동작구,신대방동,5184.02
동작구,흑석동,5409.45
마포구,공덕동,4406.8925
마포구,대흥동,4978.400000000001
마포구,도화동,5109.549999999999
마포구,망원동,5566.86
마포구,상암동,5763.97
마포구,서강동,5632.798
마포구,서교동,7491.509999999999
마포구,성산동,5760.45
마포구,신수동,5214.954
마포구,아현동,4621.3133333333335
마포구,연남동,7419.95
마포구,염리동,4519.12
마포구,용강동,5032.53
마포구,합정동,7448.79
서대문구,남가좌동,3944.75
서대문구,북가좌동,4564.93
서대문구,북아현동,4378.6
서대문구,신촌동,5090.054
서대문구,연희동,6218.82
서대문구,천연동,3785.1839999999997
서대문구,충현동,4254.448
서대문구,홍은동,3830.59
서대문구,홍제동,4138.59
서초구,내곡동,10243.98
서초구,반포동,11018.827500000001
서초구,반포본동,11426.04
서초구,방배동,10292.98
서초구,방배본동,10292.98
서초구,서초동,10988.596249999999
서초구,양재동,9808.2575
서초구,잠원동,9797.19
성동구,성동,4896.332058823529
성북구,길음동,3769.2725
성북구,돈암동,3783.38
성북구,동선동,4103.21875
성북구,보문동,3598.192857142857
성북구,삼선동,3942.5425
성북구,석관동,3600.15
성북구,성북동,5206.7575
성북구,안암동,4147.164
성북구,월곡동,3523.175
성북구,장위동,3804.8799999999997
성북구,정릉동,3705.2974999999997
성북구,종암동,3674.34
송파구,가락동,7281.91
송파구,가락본동,7281.91
송파구,거여동,5404.38
송파구,마천동,4974.27
송파구,문정동,6380.450000000001
송파구,방이동,8640.37
송파구,삼전동,9961.98
송파구,석촌동,9495.45
송파구,송파동,8696.54
송파구,오금동,6735.62
송파구,오륜동,8640.37
송파구,위례동,5145.639999999999
송파구,잠실동,10345.83
송파구,잠실본동,10345.83
송파구,장지동,5882.6
송파구,풍납동,5283.76
양천구,목동,5443.69
양천구,신월동,3644.81
양천구,신정동,4828.51
영등포구,당산동,4400.65625
영등포구,대림동,4690.84
영등포구,도림동,4054.46
영등포구,문래동,3570.1766666666663
영등포구,신길동,4611.319166666667
영등포구,양평동,3978.0112499999996
영등포구,여의동,7904.0
영등포구,영등포동,3970.6244444444446
영등포구,영등포본동,4472.8099999999995
용산구,남영동,4905.6625
용산구,보광동,7137.76
용산구,서빙고동,7408.135
용산구,용문동,4293.065
용산구,용산가동,4740.91
용산구,원효로동,4367.620000000001
용산구,이촌동,7292.89
용산구,이태원동,7216.47
용산구,청파동,4439.9625
용산구,한강로동,6175.494000000001
용산구,한남동,8144.87
용산구,효창동,5484.75
용산구,후암동,4855.74
은평구,갈현동,4394.9
은평구,구산동,4537.62
은평구,녹번동,4622.89
은평구,대조동,4531.56
은평구,불광동,4340.3
은평구,수색동,3952.18
은평구,신사동,3946.82
은평구,역촌동,4606.14
은평구,응암동,4056.6
은평구,증산동,4411.64
은평구,진관동,3885.86
종로구,가회동,5812.8675
종로구,교남동,5030.56
종로구,무악동,4367.37
종로구,부암동,5256.25
종로구,사직동,6334.0325
종로구,삼청동,5499.561428571428
종로구,숭인동,3917.41
종로구,이화동,3938.353333333334
종로구,종로···가동,5719.91551724138
종로구,종로·가동,3923.768
종로구,창신동,3468.01
종로구,청운효자동,5918.11
종로구,평창동,8318.69
종로구,혜화동,5352.621666666667
중구,광희동,4007.166
중구,다산동,4103.73
중구,동화동,4103.73
중구,명동,9192.547999999999
중구,소공동,6555.4
중구,신당동,3946.288333333333
중구,약수동,4103.73
중구,을지로동,4282.371
중구,장충동,5001.513333333333
중구,중림동,3599.73
중구,청구동,4103.73
중구,필동,4662.44
중구,황학동,3607.53
중구,회현동,7377.964444444444
중랑구,망우동,3927.86
중랑구,망우본동,3927.86
중랑구,면목·동,3647.99
중랑구,면목동,3647.99
중랑구,면목본동,3647.99
중랑구,묵동,4176.23
중랑구,상봉동,3987.76
중랑구,신내동,3837.79
중랑구,중화동,3967.03
