동,1G,2G,3인세대,4인세대,5인세대,3G,6인세대,7인세대,8인세대,9인세대,10인세대 이상,4G
사직동,"2,317",918,663,509,110,"1,282",31,18,2,0,2,53
삼청동,563,258,141,125,42,308,14,5,0,0,0,19
부암동,"1,642",979,771,542,155,"1,468",40,10,3,0,2,55
평창동,"2,321","1,808","1,467","1,223",330,"3,020",87,20,12,0,2,121
무악동,701,738,706,683,157,"1,546",21,9,0,1,1,32
교남동,"1,641","1,056",898,630,131,"1,659",20,8,0,2,0,30
가회동,917,418,314,203,56,573,16,5,0,1,1,23
종로1.2.3.4가동,"3,932",496,269,171,42,482,11,3,2,0,0,16
종로5.6가동,"2,514",489,282,179,38,499,7,2,0,0,0,9
이화동,"2,762",765,414,270,65,749,18,4,1,2,0,25
창신1동,"1,623",558,287,166,54,507,14,4,0,0,0,18
창신2동,"1,996",953,545,372,99,"1,016",26,2,2,0,0,30
창신3동,944,701,594,398,115,"1,107",22,2,1,0,0,25
숭인1동,"1,485",670,431,292,71,794,19,2,0,0,0,21
숭인2동,"4,691",965,492,309,74,875,15,2,0,0,0,17
청운효자동,"1,952","1,194",991,732,197,"1,920",47,9,6,1,0,63
혜화동,"5,679","1,484","1,004",766,191,"1,961",53,11,4,0,3,71
소공동,775,241,167,84,8,259,7,2,1,0,1,11
회현동,"1,541",447,299,196,55,550,11,10,1,1,0,23
명동,"1,020",214,117,78,15,210,5,4,1,0,3,13
필동,"1,604",419,211,141,44,396,8,3,0,0,1,12
장충동,"1,911",440,239,171,47,457,15,2,1,0,3,21
광희동,"2,419",529,272,144,34,450,21,3,2,0,0,26
을지로동,"1,065",148,50,23,8,81,3,0,0,0,0,3
신당5동,"2,735","1,216",711,521,122,"1,354",20,7,1,1,0,29
황학동,"4,129","1,572",852,507,103,"1,462",25,9,0,1,1,36
중림동,"2,509","1,304",992,709,164,"1,865",29,10,2,0,0,41
신당동,"3,190",875,415,239,64,718,19,5,1,0,0,25
다산동,"3,276","1,649","1,003",688,150,"1,841",41,10,2,0,2,55
약수동,"3,128","2,139","1,422",832,189,"2,443",49,14,2,0,4,69
청구동,"2,530","1,634","1,067",741,179,"1,987",44,6,2,1,1,54
동화동,"1,122","1,040",856,708,194,"1,758",45,12,11,0,1,69
후암동,"4,167","1,805","1,216",808,209,"2,233",44,21,6,1,4,76
용산2가동,"2,801","1,167",615,361,91,"1,067",18,3,1,0,0,22
남영동,"3,850",625,284,196,43,523,14,8,0,1,0,23
원효로2동,"2,392","1,391","1,147",882,204,"2,233",59,12,3,1,3,78
효창동,"1,718","1,161",868,723,163,"1,754",46,8,4,2,1,61
용문동,"2,110","1,304","1,047",666,147,"1,860",33,9,2,2,0,46
이촌1동,"1,859","2,194","2,387","2,119",439,"4,945",111,29,9,3,2,154
이촌2동,"1,296",974,725,451,118,"1,294",25,8,1,0,0,34
이태원1동,"1,986",747,408,245,57,710,21,2,1,0,0,24
이태원2동,"2,678","1,078",601,350,92,"1,043",34,2,2,0,0,38
서빙고동,"1,713","1,180",918,927,314,"2,159",57,17,3,0,0,77
보광동,"3,863","1,618",925,524,113,"1,562",25,3,0,1,0,29
청파동,"6,875","2,096","1,112",743,198,"2,053",47,13,1,1,3,65
원효로1동,"5,007","1,864","1,258",852,185,"2,295",31,8,4,2,1,46
한강로동,"6,133","2,361","1,579","1,038",201,"2,818",54,13,6,1,2,76
한남동,"5,557","2,271","1,364",859,234,"2,457",75,22,8,3,1,109
왕십리2동,"2,978","1,693","1,387","1,053",205,"2,645",64,11,3,1,1,80
마장동,"5,246","2,363","1,650","1,271",270,"3,191",80,11,9,2,3,105
사근동,"6,093",967,545,425,98,"1,068",11,9,0,0,0,20
행당1동,"2,803","1,389","1,183",849,171,"2,203",32,10,3,1,0,46
행당2동,"2,469","2,449","2,188","1,714",327,"4,229",70,22,4,2,1,99
응봉동,"1,586","1,452","1,406","1,194",222,"2,822",50,11,6,2,1,70
금호1가동,"2,214","1,666","1,429",970,199,"2,598",42,9,3,1,0,55
금호4가동,"2,239","1,652","1,334",864,168,"2,366",32,7,2,0,0,41
성수1가1동,"3,284","1,804","1,311",993,189,"2,493",44,5,6,0,0,55
성수1가2동,"2,733","1,340",978,697,148,"1,823",29,7,2,1,0,39
성수2가1동,"4,004","1,768","1,168",777,164,"2,109",31,8,3,2,0,44
성수2가3동,"2,796","1,085",711,561,141,"1,413",28,8,1,0,1,38
송정동,"2,981","1,150",696,479,124,"1,299",22,5,0,1,0,28
용답동,"4,939","1,202",613,441,96,"1,150",27,6,0,0,2,35
왕십리도선동,"5,007","2,647","2,247","1,730",346,"4,323",80,27,5,1,1,114
금호2.3가동,"3,587","2,578","2,056","1,367",282,"3,705",53,15,4,1,0,73
옥수동,"3,195","2,969","2,498","1,675",323,"4,496",80,16,3,3,0,102
화양동,"14,951","1,972",688,445,91,"1,224",28,8,0,1,1,38
군자동,"7,019","2,049","1,326",784,163,"2,273",43,11,3,1,1,59
중곡1동,"4,698","1,893","1,072",656,145,"1,873",30,10,0,0,0,40
중곡2동,"5,132","2,530","1,580","1,097",244,"2,921",58,10,4,1,0,73
중곡3동,"4,365","2,070","1,120",755,172,"2,047",20,8,3,0,0,31
중곡4동,"5,336","3,364","2,330","1,620",362,"4,312",87,18,3,1,1,110
능동,"3,773","1,304",722,452,113,"1,287",35,6,1,0,0,42
구의1동,"7,478","2,662","1,547","1,089",243,"2,879",47,7,2,0,2,58
구의2동,"4,366","2,724","2,183","1,730",388,"4,301",86,31,5,1,3,126
구의3동,"4,314","2,694","2,458","2,094",396,"4,948",94,19,9,0,1,123
광장동,"2,263","2,103","3,100","3,574",605,"7,279",127,27,11,2,2,169
자양1동,"6,559","2,488","1,497","1,083",232,"2,812",41,8,3,2,0,54
자양2동,"4,298","2,610","2,051","1,501",326,"3,878",73,22,5,1,0,101
자양3동,"3,197","2,606","2,423","2,244",397,"5,064",99,28,11,4,0,142
자양4동,"5,897","2,147","1,209",742,160,"2,111",42,10,1,0,1,54
회기동,"4,705",928,522,442,93,"1,057",22,4,2,0,1,29
휘경1동,"4,663","1,290",905,711,167,"1,783",38,7,1,1,0,47
