,동,소득평균
0,개포동,8845.891666666666
1,논현동,13078.13
2,대치동,13523.29
3,도곡동,10121.65
4,삼성동,14687.22
5,세곡동,10956.943333333336
6,수서동,13308.37
7,신사동,14764.935
8,압구정동,14764.935
9,역삼동,14566.28
10,일원동,11417.76
11,일원본동,11959.76
12,청담동,14058.2
13,강동,6096.8213888888895
14,미아동,3467.21
15,번동,3640.1
16,삼각산동,3467.21
17,삼양동,3467.21
18,송중동,3467.21
19,송천동,3467.21
20,수유동,3657.81
21,우이동,3668.815
22,인수동,3657.81
23,가양동,5393.275000000001
24,공항동,4350.4766666666665
25,등촌동,5654.740000000001
26,발산동,5972.693333333334
27,방화동,4960.998333333334
28,염창동,5247.045
29,우장산동,5000.365
30,화곡동,4585.7
31,화곡본동,4585.7
32,낙성대동,4913.29
33,난곡동,5017.06
34,난향동,5017.06
35,남현동,6846.29
36,대학동,5017.06
37,미성동,5017.06
38,보라매동,4913.29
39,삼성동,5017.06
40,서림동,5017.06
41,서원동,5017.06
42,성현동,4913.29
43,신림동,5017.06
44,신사동,5017.06
45,신원동,5017.06
46,은천동,4913.29
47,인헌동,4913.29
48,조원동,5017.06
49,중앙동,4913.29
50,청룡동,4913.29
51,청림동,4913.29
52,행운동,4913.29
53,광장동,5997.21
54,구의동,6037.69
55,군자동,5455.82
56,능동,6992.71
57,자양동,5425.21
58,중곡동,5054.02
59,화양동,6177.5
60,가리봉동,4498.31
61,개봉동,4331.64
62,고척동,4061.91
63,구로동,3716.19
64,수궁동,4177.055
65,신도림동,4030.19
66,오류동,3716.4725
67,항동,4215.71
68,가산동,4121.77
69,독산동,4384.74
70,시흥동,4085.31
71,공릉동,4722.2
72,상계·동,3676.98
73,상계동,3676.98
74,월계동,3981.4
75,중계·동,3321.14
76,중계동,3321.14
77,중계본동,3321.14
78,하계동,4133.37
79,도봉동,3597.97
80,방학동,3824.87
81,쌍문동,3714.43
82,창동,3733.22
83,답십리동,3673.98
84,용신동,3358.375
85,이문동,3796.7
86,장안동,3908.2
87,전농동,3700.46
88,제기동,3409.0
89,청량리동,3244.28
90,회기동,4522.99
91,휘경동,4105.24
92,노량진동,5661.74
93,대방동,5745.48
94,사당동,5412.136
95,상도동,5078.495
96,신대방동,5184.02
97,흑석동,5409.45
98,공덕동,4406.8925
99,대흥동,4978.400000000001
100,도화동,5109.549999999999
101,망원동,5566.86
102,상암동,5763.97
103,서강동,5632.798
104,서교동,7491.509999999999
105,성산동,5760.45
106,신수동,5214.954
107,아현동,4621.3133333333335
108,연남동,7419.95
109,염리동,4519.12
110,용강동,5032.53
111,합정동,7448.79
112,남가좌동,3944.75
113,북가좌동,4564.93
114,북아현동,4378.6
115,신촌동,5090.054
116,연희동,6218.82
117,천연동,3785.184
118,충현동,4254.448
119,홍은동,3830.59
120,홍제동,4138.59
121,내곡동,10243.98
122,반포동,11018.8275
123,반포본동,11426.04
124,방배동,10292.98
125,방배본동,10292.98
126,서초동,10988.59625
127,양재동,9808.2575
128,잠원동,9797.19
129,성동,4896.332058823529
130,길음동,3769.2725
131,돈암동,3783.38
132,동선동,4103.21875
133,보문동,3598.192857142857
134,삼선동,3942.5425
135,석관동,3600.15
136,성북동,5206.7575
137,안암동,4147.164
138,월곡동,3523.175
139,장위동,3804.88
140,정릉동,3705.2975
141,종암동,3674.34
142,가락동,7281.91
143,가락본동,7281.91
144,거여동,5404.38
145,마천동,4974.27
146,문정동,6380.450000000001
147,방이동,8640.37
148,삼전동,9961.98
149,석촌동,9495.45
150,송파동,8696.54
151,오금동,6735.62
152,오륜동,8640.37
153,위례동,5145.639999999999
154,잠실동,10345.83
155,잠실본동,10345.83
156,장지동,5882.6
157,풍납동,5283.76
158,목동,5443.69
159,신월동,3644.81
160,신정동,4828.51
161,당산동,4400.65625
162,대림동,4690.84
163,도림동,4054.46
164,문래동,3570.1766666666663
165,신길동,4611.319166666667
166,양평동,3978.01125
167,여의동,7904.0
168,영등포동,3970.6244444444446
169,영등포본동,4472.81
170,남영동,4905.6625
171,보광동,7137.76
172,서빙고동,7408.135
173,용문동,4293.065
174,용산가동,4740.91
175,원효로동,4367.620000000001
176,이촌동,7292.89
177,이태원동,7216.47
178,청파동,4439.9625
179,한강로동,6175.494000000001
180,한남동,8144.87
181,효창동,5484.75
182,후암동,4855.74
183,갈현동,4394.9
184,구산동,4537.62
185,녹번동,4622.89
186,대조동,4531.56
187,불광동,4340.3
188,수색동,3952.18
189,신사동,3946.82
190,역촌동,4606.14
191,응암동,4056.6
192,증산동,4411.64
193,진관동,3885.86
194,가회동,5812.8675
195,교남동,5030.56
196,무악동,4367.37
197,부암동,5256.25
198,사직동,6334.0325
199,삼청동,5499.561428571428
200,숭인동,3917.41
201,이화동,3938.353333333334
202,종로···가동,5719.91551724138
203,종로·가동,3923.768
204,창신동,3468.01
205,청운효자동,5918.11
206,평창동,8318.69
207,혜화동,5352.621666666667
208,광희동,4007.166
209,다산동,4103.73
210,동화동,4103.73
211,명동,9192.548
212,소공동,6555.4
213,신당동,3946.288333333333
214,약수동,4103.73
215,을지로동,4282.371
216,장충동,5001.513333333333
217,중림동,3599.73
218,청구동,4103.73
219,필동,4662.44
220,황학동,3607.53
221,회현동,7377.964444444444
222,망우동,3927.86
223,망우본동,3927.86
224,면목·동,3647.99
225,면목동,3647.99
226,면목본동,3647.99
227,묵동,4176.23
228,상봉동,3987.76
229,신내동,3837.79
230,중화동,3967.03
