구,동,공시지가_21,공시지가_22,공시지가_23
강남구,개포동,5057810.131,5656751.077,5359630.863
강남구,논현동,11126967.34,12784535.7,12155760.62
강남구,대치동,12329032.8,14165490.84,13458491.34
강남구,도곡동,8575488.928,9799314.775,9312724.528
강남구,삼성동,14629602.55,16915129.8,16123437.58
강남구,세곡동,1695258.03,1866622.458,1738359.907
강남구,수서동,2740909.593,3130956.459,2957601.754
강남구,신사동,16414771.27,18197921.06,17411844.16
강남구,신사동,16414771.27,18197921.06,2843718.267
강남구,신사동,16414771.27,2996412.985,17411844.16
강남구,신사동,16414771.27,2996412.985,2843718.267
은평구,신사동,2731445.943,18197921.06,17411844.16
은평구,신사동,2731445.943,18197921.06,2843718.267
은평구,신사동,2731445.943,2996412.985,17411844.16
은평구,신사동,2731445.943,2996412.985,2843718.267
강남구,압구정동,13966127.84,15717741.48,14984571.19
강남구,역삼동,13524115.21,15494728.34,14752729.39
강남구,율현동,1866503.988,2067327.349,1928975.489
강남구,일원동,4874355.74,5601653.485,5299697.732
강남구,자곡동,2212931.158,2539945.11,2410088.223
강남구,청담동,15177640.92,17502559.06,16767669.57
강동구,강일동,1094708.923,1194059.563,1117884.205
강동구,고덕동,2546816.522,2845406.149,2667970.106
강동구,길동,4603057.82,5085044.241,4775389.114
강동구,둔촌동,2918182.35,3221826.542,3018417.948
강동구,명일동,4764653.003,5320753.534,4988593.902
강동구,상일동,2765103.677,3004126.201,2793444.771
강동구,성내동,4818677.505,5333507.534,5008143.955
강동구,암사동,3171020.849,3491900.337,3281902.611
강동구,천호동,4576840.873,5100748.123,4803831.537
강북구,미아동,2913739.701,3204971.333,3067639.268
강북구,번동,2338145.603,2539233.987,2416380.716
강북구,수유동,2311819.793,2537031.812,2387387.517
강북구,우이동,1491666.895,1636748.811,1540209.16
강서구,가양동,3669012.158,4120376.348,3876003.69
강서구,개화동,426760.8855,465778.0533,439372.6125
강서구,공항동,2880963.427,3102955.672,2923910.71
강서구,과해동,185797.5039,195634.3899,183024.252
강서구,내발산동,3361742.112,3657625.346,3439005.601
강서구,등촌동,4013091.142,4463036.634,4163408.059
강서구,마곡동,2967265.013,3326536.153,3146114.758
강서구,방화동,2550789.282,2791043.458,2615725.961
강서구,염창동,3599416.007,3942474.862,3725985.78
강서구,오곡동,181460.6855,190460.6513,178853.7424
강서구,오쇠동,224638.1264,237693.8865,226363.3406
강서구,외발산동,1300406.231,1399093.027,1316726.899
강서구,화곡동,3336629.786,3712271.144,3494324.884
관악구,남현동,4582830.794,5085995.926,4793214.068
관악구,봉천동,3849863.007,4311754.75,4071631.25
관악구,신림동,3680602.823,4076320.108,3837990.975
광진구,광장동,2855157.245,3137993.948,2956754.104
광진구,구의동,4195371.835,4638931.38,4410468.989
광진구,군자동,4001113.398,4415365.968,4162136.397
광진구,능동,4043808.824,4531540.038,4313504.682
광진구,자양동,4742583.163,5451237.881,5025308.331
광진구,중곡동,3486889.478,3867653.063,3618660.721
광진구,화양동,5617656.156,6190914.605,5840304.392
구로구,가리봉동,3244294.649,3618488.425,3392756.695
구로구,개봉동,2794539.602,3060889.305,2846103.356
구로구,고척동,2762088.387,3003624.27,2802439.862
구로구,구로동,3183840.267,3432980.032,3203364.389
구로구,궁동,1776560.264,1908495.095,1767471.04
구로구,신도림동,3128958.779,3583558.365,3316096.802
구로구,오류동,2519513.749,2760357.084,2610849.84
구로구,온수동,1958815.108,2123509.671,2003060.41
구로구,천왕동,1273014.528,1382214.842,1280564.619
구로구,항동,1330119.912,1392163.576,1292053.145
금천구,가산동,2883660.331,3283833.977,3105038.299
금천구,독산동,2912784.55,3207780.903,3014123.502
금천구,시흥동,2695010.033,2956398.823,2769686.507
노원구,공릉동,2580652.922,2864964.617,2660701.695
노원구,상계동,2764193.889,2996730.726,2810888.549
노원구,월계동,1945831.48,2161189.686,2033954.292
노원구,중계동,2191269.551,2385505.321,2240239.011
노원구,하계동,1997674.035,2217797.182,2066596.455
