,동,신혼
0,사직동,43
1,삼청동,11
2,부암동,32
3,평창동,43
4,무악동,12
5,교남동,30
6,가회동,12
7,종로가동,18
8,종로가동,21
9,이화동,28
10,창신동,22
11,창신동,31
12,창신동,32
13,숭인동,23
14,숭인동,45
15,청운효자동,35
16,혜화동,48
17,소공동,12
18,회현동,11
19,명동,8
20,필동,13
21,장충동,14
22,광희동,32
23,을지로동,13
24,신당동,37
25,황학동,77
26,중림동,52
27,신당동,44
28,다산동,46
29,약수동,56
30,청구동,65
31,동화동,31
32,후암동,65
33,용산가동,31
34,남영동,21
35,원효로동,56
36,효창동,56
37,용문동,56
38,이촌동,65
39,이촌동,40
40,이태원동,19
41,이태원동,42
42,서빙고동,30
43,보광동,47
44,청파동,101
45,원효로동,128
46,한강로동,104
47,한남동,87
48,왕십리동,71
49,마장동,98
50,사근동,46
51,행당동,61
52,행당동,100
53,응봉동,48
54,금호가동,48
55,금호가동,53
56,성수가동,75
57,성수가동,45
58,성수가동,57
59,성수가동,52
60,송정동,43
61,용답동,38
62,왕십리도선동,112
63,금호가동,94
64,옥수동,138
65,화양동,90
66,군자동,90
67,중곡동,96
68,중곡동,84
69,중곡동,57
70,중곡동,83
71,능동,65
72,구의동,119
73,구의동,81
74,구의동,114
75,광장동,65
76,자양동,101
77,자양동,97
78,자양동,86
79,자양동,89
80,회기동,31
81,휘경동,57
82,휘경동,62
83,청량리동,46
84,용신동,151
85,제기동,81
86,전농동,108
87,전농동,50
88,답십리동,135
89,답십리동,104
90,장안동,143
91,장안동,117
92,이문동,55
93,이문동,61
94,면목동,132
95,면목동,63
96,면목동,71
97,면목동,84
98,상봉동,96
99,상봉동,164
100,중화동,87
101,중화동,116
102,묵동,136
103,묵동,85
104,망우동,50
105,신내동,111
106,신내동,80
107,면목본동,186
108,면목동,92
109,망우본동,170
110,돈암동,53
111,돈암동,70
112,안암동,51
113,보문동,65
114,정릉동,60
115,정릉동,76
116,정릉동,72
117,정릉동,70
118,길음동,77
119,길음동,77
120,월곡동,72
121,월곡동,73
122,장위동,96
123,장위동,56
124,장위동,47
125,성북동,76
126,삼선동,70
127,동선동,45
128,종암동,98
129,석관동,125
130,번동,44
131,번동,34
132,번동,47
133,수유동,66
134,수유동,55
135,수유동,97
136,삼양동,64
137,미아동,64
138,송중동,87
139,송천동,73
140,삼각산동,60
141,우이동,70
142,인수동,77
143,쌍문동,52
144,쌍문동,54
145,쌍문동,50
146,쌍문동,48
147,방학동,74
148,방학동,46
149,방학동,64
150,창동,94
151,창동,106
152,창동,45
153,창동,59
154,창동,93
155,도봉동,56
156,도봉동,99
157,월계동,78
158,월계동,69
159,월계동,129
160,공릉동,155
161,하계동,54
162,하계동,74
163,중계본동,27
164,중계동,23
165,중계동,42
166,상계동,107
167,상계동,45
168,상계동,65
169,상계동,240
170,상계동,72
171,상계동,87
172,상계동,59
173,상계동,153
174,중계동,139
175,공릉동,130
176,녹번동,141
177,불광동,143
178,갈현동,53
179,갈현동,93
180,구산동,89
181,대조동,109
182,응암동,164
183,응암동,88
184,신사동,93
185,신사동,50
