동,신혼
사직동,43
삼청동,11
부암동,32
평창동,43
무악동,12
교남동,30
가회동,12
종로1.2.3.4가동,18
종로5.6가동,21
이화동,28
창신1동,22
창신2동,31
창신3동,32
숭인1동,23
숭인2동,45
청운효자동,35
혜화동,48
소공동,12
회현동,11
명동,8
필동,13
장충동,14
광희동,32
을지로동,13
신당5동,37
황학동,77
중림동,52
신당동,44
다산동,46
약수동,56
청구동,65
동화동,31
후암동,65
용산2가동,31
남영동,21
원효로2동,56
효창동,56
용문동,56
이촌1동,65
이촌2동,40
이태원1동,19
이태원2동,42
서빙고동,30
보광동,47
청파동,101
원효로1동,128
한강로동,104
한남동,87
왕십리2동,71
마장동,98
사근동,46
행당1동,61
행당2동,100
응봉동,48
금호1가동,48
금호4가동,53
성수1가1동,75
성수1가2동,45
성수2가1동,57
성수2가3동,52
송정동,43
용답동,38
왕십리도선동,112
금호2.3가동,94
옥수동,138
화양동,90
군자동,90
중곡1동,96
중곡2동,84
중곡3동,57
중곡4동,83
능동,65
구의1동,119
구의2동,81
구의3동,114
광장동,65
자양1동,101
자양2동,97
자양3동,86
자양4동,89
회기동,31
휘경1동,57
휘경2동,62
청량리동,46
용신동,151
제기동,81
전농1동,108
전농2동,50
답십리1동,135
답십리2동,104
장안1동,143
장안2동,117
이문1동,55
이문2동,61
면목2동,132
면목4동,63
면목5동,71
면목7동,84
상봉1동,96
상봉2동,164
중화1동,87
중화2동,116
묵1동,136
묵2동,85
망우3동,50
신내1동,111
신내2동,80
면목본동,186
면목3.8동,92
망우본동,170
돈암1동,53
돈암2동,70
안암동,51
보문동,65
정릉1동,60
정릉2동,76
정릉3동,72
정릉4동,70
길음1동,77
길음2동,77
월곡1동,72
월곡2동,73
장위1동,96
장위2동,56
장위3동,47
성북동,76
삼선동,70
동선동,45
종암동,98
석관동,125
번1동,44
번2동,34
번3동,47
수유1동,66
수유2동,55
수유3동,97
삼양동,64
미아동,64
송중동,87
송천동,73
삼각산동,60
우이동,70
인수동,77
쌍문1동,52
쌍문2동,54
쌍문3동,50
쌍문4동,48
방학1동,74
방학2동,46
방학3동,64
창1동,94
창2동,106
창3동,45
창4동,59
창5동,93
도봉1동,56
도봉2동,99
월계1동,78
월계2동,69
월계3동,129
공릉2동,155
하계1동,54
하계2동,74
중계본동,27
중계1동,23
중계4동,42
상계1동,107
상계2동,45
상계5동,65
상계8동,240
상계9동,72
상계10동,87
상계3.4동,59
상계6.7동,153
중계2.3동,139
공릉1동,130
녹번동,141
불광1동,143
갈현1동,53
갈현2동,93
구산동,89
대조동,109
응암1동,164
응암2동,88
신사1동,93
신사2동,50
증산동,68
수색동,64
진관동,126
불광2동,98
응암3동,87
역촌동,119
천연동,63
홍제1동,91
홍제3동,50
홍제2동,53
홍은1동,73
홍은2동,87
남가좌1동,35
남가좌2동,104
북가좌1동,42
북가좌2동,113
충현동,89
북아현동,66
신촌동,76
연희동,109
용강동,91
대흥동,66
염리동,74
신수동,75
서교동,103
합정동,90
망원1동,68
망원2동,85
연남동,58
성산1동,79
성산2동,194
상암동,68
도화동,91
서강동,74
공덕동,166
아현동,138
목1동,57
목2동,164
목3동,118
목4동,74
신월1동,79
신월2동,49
신월3동,41
신월4동,52
신월5동,63
신월6동,57
신월7동,64
