동,0~9세 남자,10~19세 남자,1M,20~29세 남자,30~39세 남자,2M,40~49세 남자,50~59세 남자,60~69세 남자,3M,70~79세 남자,80~89세 남자,90~99세 남자,100세 이상 남자,4M,0~9세 여자,10~19세 여자,1W,20~29세 여자,30~39세 여자,2W,40~49세 여자,50~59세 여자,60~69세 여자,3W,70~79세 여자,80~89세 여자,90~99세 여자,100세 이상 여자,4W,인구수,M,W
청운동,94,181,275,160,114,274,163,182,135,480,72,49,9,0,130,69,118,187,110,137,247,233,206,143,582,88,67,8,1,164,2339,1159,1180
신교동,32,82,114,91,68,159,103,98,80,281,32,21,2,0,55,24,72,96,95,90,185,161,131,78,370,59,34,8,0,101,1361,609,752
궁정동,5,8,13,17,5,22,19,23,5,47,1,0,0,1,2,5,8,13,16,18,34,24,22,8,54,2,3,2,0,7,192,84,108
효자동,13,19,32,35,37,72,36,45,39,120,17,11,2,0,30,18,29,47,31,57,88,43,62,40,145,23,11,4,0,38,572,254,318
창성동,12,10,22,15,23,38,31,28,29,88,14,8,2,0,24,15,12,27,23,37,60,41,40,32,113,29,9,3,1,42,414,172,242
통의동,13,8,21,25,34,59,19,23,17,59,11,7,0,1,19,7,10,17,20,27,47,19,25,29,73,14,8,1,0,23,318,158,160
적선동,0,1,1,0,2,2,1,5,5,11,2,0,1,0,3,0,0,0,1,4,5,3,1,4,8,1,1,1,0,3,33,17,16
통인동,14,23,37,47,41,88,52,57,48,157,33,27,0,0,60,13,35,48,50,50,100,59,63,60,182,42,33,9,0,84,756,342,414
누상동,77,162,239,174,186,360,272,251,157,680,110,55,2,0,167,86,162,248,213,218,431,330,312,204,846,159,70,6,0,235,3206,1446,1760
누하동,15,25,40,48,58,106,60,59,45,164,27,16,1,0,44,23,34,57,47,72,119,62,73,54,189,49,42,1,0,92,811,354,457
옥인동,67,71,138,100,171,271,135,101,110,346,53,46,6,0,105,58,63,121,132,178,310,162,131,131,424,102,52,11,0,165,1880,860,1020
