,학교명,지역명,재학생
7,가톨릭대학교,서울,913
8,가톨릭대학교,서울,216
10,감리교신학대학교,서울,635
16,강서대학교,서울,"1,560"
22,건국대학교,서울,"15,343"
28,경기대학교,서울,"2,010"
55,경희대학교,서울,"25,998"
56,경희사이버대학교,서울,"10,880"
61,고려대학교,서울,"19,597"
63,고려사이버대학교,서울,"10,404"
69,광운대학교,서울,"8,496"
77,국민대학교,서울,"14,562"
119,덕성여자대학교,서울,"5,269"
121,동국대학교,서울,"13,270"
124,동덕여자대학교,서울,"6,834"
133,동양미래대학교,서울,"5,943"
139,디지털서울문화예술대학교,서울,"3,300"
143,명지대학교,서울,"7,613"
144,명지전문대학,서울,"6,694"
152,배화여자대학교,서울,"2,841"
169,사이버한국외국어대학교,서울,"6,529"
170,삼육대학교,서울,"5,332"
171,삼육보건대학교,서울,"1,327"
173,상명대학교,서울,"6,305"
176,서강대학교,서울,"7,974"
177,서경대학교,서울,"6,510"
180,서울과학기술대학교,서울,"10,064"
181,서울교육대학교,서울,"1,496"
182,서울기독대학교,서울,403
183,서울대학교,서울,"15,870"
184,서울디지털대학교,서울,"11,133"
185,서울사이버대학교,서울,"16,539"
186,서울시립대학교,서울,"8,674"
188,서울여자간호대학교,서울,919
189,서울여자대학교,서울,"7,008"
192,서울한영대학교,서울,655
194,서일대학교,서울,"5,872"
200,성공회대학교,서울,"1,931"
201,성균관대학교,서울,"18,298"
202,성신여자대학교,서울,"8,873"
207,세종대학교,서울,"11,688"
208,세종사이버대학교,서울,"10,484"
218,숙명여자대학교,서울,"9,830"
223,숭실대학교,서울,"15,116"
224,숭실사이버대학교,서울,"7,328"
225,숭의여자대학교,서울,"3,206"
243,연세대학교,서울,"19,239"
279,이화여자대학교,서울,"15,281"
280,인덕대학교,서울,"5,945"
290,장로회신학대학교,서울,616
302,정석대학,서울,44
312,중앙대학교,서울,"18,110"
327,총신대학교,서울,"1,466"
328,추계예술대학교,서울,"1,068"
351,한국방송통신대학교,서울,"96,748"
355,한국성서대학교,서울,"1,025"
358,한국열린사이버대학교,서울,"5,741"
360,한국예술종합학교,서울,"2,655"
361,한국외국어대학교,서울,"16,593"
363,한국체육대학교,서울,"2,384"
365,한국폴리텍 I 대학 서울강서캠퍼스,서울,534
366,한국폴리텍 I 대학 서울정수캠퍼스,서울,"1,303"
408,한성대학교,서울,"6,840"
411,한양대학교,서울,"15,448"
413,한양사이버대학교,서울,"16,970"
414,한양여자대학교,서울,"6,895"
425,홍익대학교,서울,"12,163"
